	alpha0	alpha7	alpha14	alpha21	alpha28	alpha35	alpha42	alpha49	alpha56	alpha63	alpha70	alpha77	alpha84	alpha91	alpha98	alpha105	alpha112	alpha119
YNL085W	0.08	-0.11	-0.27	0.03	-0.07	-0.04	-0.09	-0.29	-0.02	0.24	-0.07	0.35	0.08	-0.02	0.06	0.11	-0.23	0.27
YNL084C	0.13	0.15	0.13	0.24	0.01	-0.25	-0.04	-0.02	0.08	-0.18	0.17	0.01	-0.04	-0.29	-0.25	0.32	-0.12	-0.07
YNL083W	0.09	0.11	0.09	-0.11	-0.09	-0.07	0.19	-0.01	0.11	0.41	-0.05	0.09	0.11	-0.17	-0.69	0.11	-0.13	0.0
YNL082W	-0.61	-0.1	0.66	0.97	0.21	-0.17	-0.38	-0.44	-0.59	-0.23	0.61	0.68	0.41	-0.33	-0.35	0.42	-0.38	-0.38
YNL081C	0.06	0.35	-0.11	0.03	-0.02	0.11	0.11	-0.11	-0.06	0.57	-0.22	-0.04	0.15	0.03	-0.48	-0.13	-0.02	-0.2
YNL080C	0.07	-0.08	0.0	0.3	0.12	-0.21	0.07	-0.14	0.07	-0.21	0.27	-0.16	0.33	-0.08	0.03	-0.06	-0.08	-0.25
YNL079C	-0.03	0.36	-0.19	0.17	-0.16	0.14	-0.06	0.01	0.1	0.29	-0.13	0.02	-0.04	-0.33	-0.14	-0.13	0.01	0.12
YNL078W	0.12	0.21	-0.96	-1.11	-0.6	-0.73	-0.91	-0.64	-0.91	0.9	1.56	1.2	0.89	0.23	0.23	-0.06	0.16	0.42
YNL077W	-0.15	0.28	0.91	0.48	0.41	-0.35	0.08	-0.14	0.02	-0.17	-0.14	0.0	-0.06	-0.35	0.07	-0.56	-0.12	-0.21
YNL076W	-0.12	-0.17	-0.15	0.0	0.12	0.3	0.25	0.02	-0.01	-0.055	-0.1	-0.14	-0.06	-0.33	0.13	-0.03	0.25	0.05
YNL075W	0.22	-1.0	-0.43	-0.82	0.28	-0.23	0.46	0.23	0.41	0.15	-0.1	0.15	0.28	-0.08	0.02	0.06	0.2	0.18
YNL074C	0.14	-0.05	0.25	0.05	0.22	0.29	0.41	-0.15	0.0	-0.16	0.01	-0.22	0.0	-0.46	0.16	-0.18	-0.13	-0.16
YNL073W	0.04	0.01	0.23	-0.08	0.23	-0.16	0.29	-0.18	0.11	0.04	0.01	0.09	0.06	-0.32	-0.12	-0.06	-0.03	-0.14
YNL072W	-1.0	-0.87	0.4	0.71	0.54	0.38	0.31	-0.29	-0.21	0.0	0.27	0.46	0.46	-0.31	0.02	-0.27	-0.02	-0.58
YNL071W	0.07	-0.39	0.42	-0.1	0.15	-0.05	0.31	-0.2	0.24	0.03	0.14	-0.22	0.02	-0.05	0.2	-0.09	-0.03	-0.43
YNL070W	0.11	-0.23	0.12	-0.1	0.38	0.31	0.54	-0.02	0.16	-0.29	0.3	-0.55	0.21	-0.37	0.21	-0.25	-0.07	-0.46
YNL069C	0.19	0.0	0.13	-0.22	0.15	-0.22	0.3	-0.19	-0.01	-0.04	-0.06	-0.2	0.12	-0.19	0.25	-0.17	0.3	-0.14
YNL068C	-0.67	-0.52	-0.67	-0.25	0.17	0.55	0.54	0.36	0.15	-0.02	-0.28	-0.4	-0.24	-0.14	0.29	0.33	0.31	0.22
YNL067W	0.13	-0.16	-0.02	-0.35	-0.03	-0.35	0.28	-0.24	0.12	-0.02	0.23	-0.1	0.15	-0.18	0.31	-0.05	0.33	-0.06
YNL066W	-0.57	-1.24	-0.93	-1.24	-0.12	-0.08	0.26	-0.16	-0.08	-0.33	0.37	0.7	1.03	0.56	0.88	0.48	0.58	-0.12
YNL065W	1.22	-1.04	-0.845	-0.65	0.36	0.52	0.81	-0.19	-0.09	-0.23	-0.58	-0.21	0.47	0.02	-0.25	-0.1	-0.07	-0.01
YNL064C	0.17	-0.49	-0.29	0.07	0.23	0.28	0.42	0.23	0.31	-0.16	0.01	-0.21	-0.04	-0.24	0.0	0.03	-0.18	-0.14
YNL063W	-0.13	-0.17	-0.65	-0.36	-0.09	0.17	0.32	0.33	0.22	0.16	-0.19	0.1	0.1	0.0	-0.11	-0.11	0.19	0.23
YNL062C	0.09	-0.385	-0.86	-0.42	0.05	-0.13	0.32	0.09	0.34	-0.13	0.0	0.0	0.19	0.09	0.0	0.22	0.05	0.12
YNL061W	0.15	-0.54	-1.05	-0.44	-0.11	0.07	0.26	0.23	0.3	0.34	0.05	0.21	0.27	0.04	-0.09	0.04	-0.05	0.31
YNL059C	0.08	-0.12	-0.18	-0.31	-0.18	0.18	0.21	-0.01	0.13	0.19	-0.01	0.08	0.15	-0.16	-0.01	-0.1	-0.06	0.13
YNL058C	-0.63	-0.49	-1.14	-1.81	-0.91	-0.75	0.36	1.06	1.53	0.95	0.54	0.09	-0.1	-0.95	-0.25	0.24	1.0	1.26
YNL057W	-0.63	-0.57	-0.43	-1.17	-0.69	-0.6	0.26	0.47	1.14	0.91	0.4	0.09	0.07	-0.13	-0.46	0.16	0.23	0.96
YNL056W	0.23	0.16	-0.01	-0.02	-0.09	-0.02	0.13	0.21	0.32	-0.19	-0.02	-0.23	0.02	-0.34	-0.12	-0.14	0.14	-0.02
YNL055C	0.4	0.78	0.39	0.59	0.35	0.29	0.22	-0.32	-0.18	-0.24	-0.32	-0.24	-0.04	-0.22	-0.1	-0.37	-0.56	-0.46
YNL054W	0.04	-0.11	0.16	-0.15	-0.06	0.13	0.2	0.24	0.12	-0.04	-0.11	-0.04	0.01	-0.09	0.01	-0.22	-0.06	-0.01
YNL053W	0.79	0.09	0.1	-0.19	-0.41	0.17	0.06	0.24	0.02	-0.24	-0.49	-0.17	-0.09	-0.04	-0.07	0.0	0.2	0.03
YNL052W	-0.12	-0.05	0.25	-0.14	0.12	0.05	0.22	-0.05	0.03	-0.05	0.05	-0.27	0.07	-0.34	0.25	-0.12	0.2	-0.08
YNL051W	0.05	0.05	0.37	-0.29	0.16	-0.15	0.35	-0.17	0.1	0.26	-0.09	0.0	-0.02	-0.25	-0.11	-0.27	-0.06	0.06
YNL050C	0.38	-0.36	-0.04	-0.07	0.27	-0.02	0.22	0.19	0.28	-0.25	-0.07	-0.17	-0.04	-0.19	0.03	-0.11	0.11	-0.17
YNL049C	-0.02	-0.4	0.0	-0.21	-0.1	0.06	0.33	-0.14	0.09	0.23	-0.23	0.05	-0.1	-0.16	0.11	0.11	0.25	0.14
YNL048W	-0.12	-0.38	-0.12	-0.28	0.26	0.08	0.55	0.06	0.11	-0.17	-0.08	-0.22	0.05	-0.22	0.31	0.11	0.18	-0.12
YNL047C	-0.12	-0.2	0.14	-0.22	-0.05	-0.03	0.26	-0.06	0.04	0.34	0.07	0.11	0.01	-0.18	-0.06	-0.28	0.04	0.18
YNL046W	-0.43	-0.52	-0.49	-0.31	-0.13	-0.26	-0.04	-0.52	-0.37	0.36	1.22	0.56	0.54	0.03	0.07	-0.11	0.16	-0.08
YNL045W	0.3	0.28	0.58	0.19	0.07	-0.16	0.36	-0.25	-0.12	0.07	-0.23	-0.12	-0.2	-0.18	-0.16	-0.32	-0.13	-0.16
YNL044W	-0.2	-0.27	-0.07	-0.29	0.34	0.32	0.81	0.26	0.1	-0.29	-0.35	-0.65	0.17	-0.27	0.52	-0.04	0.4	-0.46
YNL043C	-0.17	-0.24	0.09	-0.3	0.29	-0.01	0.69	-0.03	0.09	-0.22	-0.32	-0.28	0.05	0.205	0.36	-0.12	0.24	-0.12
YNL042W	1.74	0.71	0.72	0.0	0.06	-0.24	0.05	-0.17	-0.07	-0.545	-1.02	-0.595	-0.17	-0.87	-0.26	-0.36	0.13	-0.24
YNL041C	0.07	-0.19	0.21	-0.3	0.06	-0.13	0.32	-0.17	0.01	0.13	-0.24	0.09	-0.09	0.02	0.13	0.02	0.055	0.09
YNL040W	0.19	0.18	0.06	0.26	0.05	0.09	0.22	0.02	0.15	-0.2	-0.23	-0.02	0.09	-0.06	-0.14	-0.19	-0.15	-0.3
YNL039W	-0.53	-0.12	-0.04	0.12	-0.2	0.38	0.81	0.23	-0.35	0.25	0.1	0.52	-0.16	-0.23	-0.27	0.1	-0.2	-0.18
YNL038W	0.09	0.0	0.12	0.13	0.03	0.13	0.42	0.09	0.23	-0.22	-0.18	-0.34	0.08	-0.42	-0.03	-0.17	0.14	-0.12
YNL037C	-0.21	-0.22	-0.44	0.22	0.74	1.19	0.95	0.51	0.43	0.08	-0.38	-0.46	-0.44	-0.43	-0.11	-0.43	-0.47	-0.53
YNL036W	-1.28	1.81	1.67	1.54	0.89	0.61	0.46	-0.26	-0.08	-0.46	-0.39	-0.87	-0.54	-1.0	-0.56	-0.63	-0.54	-0.36
YNL035C	0.05	0.03	-0.14	0.08	-0.26	0.22	-0.04	-0.16	0.06	0.08	-0.16	0.06	0.11	0.13	-0.02	-0.14	0.08	-0.01
YNL034W	0.15	0.28	0.41	0.31	0.21	-0.19	0.02	0.03	-0.04	-0.235	-0.43	0.24	-0.04	-0.06	-0.04	-0.13	-0.15	0.0
YNL033W	0.14	0.3	-0.47	-0.415	-0.36	0.65	-0.02	0.02	-0.36	0.02	-0.75	0.5	-0.17	0.25	-0.42	0.21	0.3	0.16
YNL032W	-0.32	-0.1	-0.49	-0.04	0.35	0.21	0.14	-0.08	0.07	-0.25	0.02	0.02	0.37	-0.14	0.32	0.04	-0.1	-0.04
YNL031C	-1.71	-1.35	-1.46	0.11	0.94	1.36	0.73	-0.06	-0.25	-0.71	-0.93	0.0	0.9	1.12	1.07	0.29	0.24	-0.27
YNL030W	-2.25	-1.97	-1.74	0.26	1.26	1.4	0.95	0.22	-0.15	-0.97	-0.74	-0.08	1.14	0.96	1.4	0.55	0.11	-0.33
YNL029C	-0.1	-0.22	0.0	-0.2	-0.2	0.29	0.38	0.19	0.09	0.1	-0.34	0.2	0.2	-0.27	-0.1	-0.25	0.23	0.0
YNL028W	0.19	0.3	-0.07	-0.29	-0.09	-0.17	0.2	-0.12	0.13	-0.09	0.2	-0.25	-0.03	-0.29	0.49	0.06	-0.07	-0.1
YNL027W	0.0	-0.05	-0.13	0.18	-0.03	0.075	0.18	-0.06	-0.14	0.21	-0.18	0.04	-0.23	-0.18	-0.13	0.06	0.21	0.08
YNL026W	0.03	-0.13	0.03	0.03	0.22	-0.03	0.31	0.04	-0.02	-0.06	0.03	-0.23	0.06	-0.27	0.18	-0.13	0.21	-0.25
YNL025C	0.03	0.36	0.23	-0.26	-0.21	-0.06	0.22	0.065	-0.09	0.2	-0.13	0.03	-0.09	-0.1	-0.11	-0.13	0.03	-0.02
YNL024C	0.04	0.35	0.15	-0.07	0.27	0.1	0.22	0.03	-0.03	0.0	-0.22	-0.77	-0.03	0.07	-0.03	-0.15	0.25	-0.19
YNL023C	0.08	-0.71	-0.36	-0.4	0.2	-0.03	0.44	0.3	0.16	0.1	-0.01	0.17	0.02	-0.045	-0.11	-0.04	0.4	0.09
YNL022C	0.28	-0.74	-0.48	-0.41	0.18	-0.03	0.4	0.08	0.15	-0.07	0.05	0.0	0.31	0.03	-0.02	-0.02	0.31	-0.02
YNL021W	0.0	-0.14	-0.1	-0.04	0.03	-0.18	0.17	0.135	0.1	0.17	-0.08	0.31	-0.04	-0.18	-0.22	-0.1	0.17	0.1
YNL020C	0.24	0.16	0.06	0.09	-0.17	-0.09	0.08	0.06	0.06	0.37	-0.09	-0.07	-0.01	-0.15	0.06	-0.09	-0.39	-0.11
YNL019C	0.08	0.5	-0.25	0.22	-0.01	0.2	0.03	-0.075	-0.18	-0.08	-0.23	0.07	-0.48	0.03	-0.16	-0.2	0.37	0.1
YNL018C	0.16	0.22	-0.01	-0.3	0.19	0.22	0.37	-0.18	-0.02	0.34	-0.28	-0.32	0.11	-0.37	0.5	0.05	-0.89	0.19
YNL017C	0.0	0.175	0.35	-0.03	0.19	-0.15	0.09	0.035	-0.02	-0.05	-0.22	0.12	-0.15	-0.19	-0.11	0.09	0.29	-0.13
YNL016W	0.09	-0.04	-0.21	-0.02	-0.05	0.09	0.17	0.15	0.0	-0.07	-0.05	0.07	0.1	0.01	0.01	-0.05	-0.28	0.07
YNL015W	-0.71	0.05	-0.12	0.64	-0.02	0.43	-0.31	-0.73	-0.56	-0.4	-0.05	0.36	0.63	0.35	0.54	0.14	0.01	-0.23
YNL014W	0.08	-0.21	-0.49	-0.05	-0.31	0.07	0.03	0.03	-0.05	0.03	0.03	0.11	0.14	0.05	0.14	0.14	-0.12	0.37
YNL013C	-0.11	-0.25	-0.36	-0.11	-0.19	0.2	-0.02	-0.19	-0.04	0.24	-0.04	0.16	-0.02	0.21	0.03	0.21	0.13	0.13
YNL012W	-0.06	0.035	0.13	0.28	-0.08	-0.24	0.16	0.1	0.04	-0.04	-0.26	-0.13	0.3	0.16	-0.04	-0.11	-0.19	-0.03
YNL011C	-0.21	0.58	0.25	0.18	-0.09	0.1	-0.19	-0.21	-0.04	-0.11	-0.17	0.08	-0.11	-0.09	0.08	-0.07	0.18	-0.15
YNL010W	0.06	-0.12	-0.22	0.03	-0.16	-0.07	0.27	-0.02	0.28	-0.05	0.03	-0.14	0.19	-0.2	0.1	-0.12	0.06	0.06
YNL009W	-0.11	0.16	-0.02	0.05	-0.21	-0.07	0.16	-0.15	0.1	0.2	-0.25	0.01	-0.25	-0.23	0.37	0.28	0.1	-0.13
YNL008C	-0.11	0.01	0.15	0.34	0.19	-0.07	0.12	-0.14	-0.01	0.09	0.16	-0.18	0.22	-0.53	0.29	-0.13	-0.29	-0.09
YNL007C	-0.17	-0.06	0.14	0.17	0.1	0.4	0.33	-0.12	0.13	0.02	-0.1	0.13	-0.23	-0.57	0.1	0.03	-0.13	-0.15
YNL006W	-0.01	0.13	0.14	0.23	0.04	-0.01	0.35	0.04	0.07	-0.07	-0.05	-0.12	0.1	-0.38	-0.04	-0.17	-0.21	-0.05
YNL005C	-0.15	0.09	0.16	0.2	-0.07	0.24	0.14	-0.01	-0.02	0.02	-0.21	0.08	-0.17	-0.04	-0.12	-0.3	0.11	0.04
YNL004W	0.17	-0.51	0.16	-0.24	0.13	-0.37	0.13	0.17	0.2	0.03	0.06	-0.04	-0.09	-0.18	0.11	-0.13	0.52	-0.13
YNL003C	0.23	0.14	0.1	-0.15	-0.03	0.04	0.46	0.09	0.01	-0.14	-0.31	-0.26	-0.03	-0.49	0.29	-0.14	0.33	-0.15
YNL002C	0.0	-1.07	-0.46	-0.46	0.15	-0.17	0.34	0.29	0.56	0.14	0.45	-0.11	0.1	-0.17	0.22	-0.23	0.45	0.0
YNL001W	0.26	-0.28	-0.285	-0.29	-0.19	-0.26	0.22	0.05	0.25	0.21	0.08	-0.17	0.13	-0.2	0.08	-0.2	0.45	-0.14
YMR326C	-0.09	-0.24	0.34	0.31	0.17	-0.18	-0.02	-0.18	0.13	-0.29	0.47	0.04	0.24	-0.4	0.09	-0.27	0.0	-0.13
YMR324C	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
YMR323W	0.24	-0.15	-0.02	-0.07	0.05	-0.07	0.26	-0.01	0.07	-0.07	0.05	-0.23	0.07	-0.04	-0.15	-0.3	0.39	-0.02
YMR322C	0.11	0.135	0.16	0.085	0.01	-0.06	0.19	-0.18	-0.16	-0.02	-0.32	0.08	0.19	-0.24	0.08	-0.1	0.21	0.05
YMR321C	0.23	-0.49	0.25	-0.04	0.27	-0.39	0.06	-0.23	0.22	-0.13	0.4	-0.18	0.08	-0.18	0.47	-0.23	0.25	-0.39
YMR320W	0.09	0.08	-0.04	-0.18	0.14	0.15	0.2	-0.02	0.0	0.01	-0.24	0.03	0.2	-0.24	0.01	-0.2	-0.02	0.03
YMR319C	-0.01	-0.59	-0.13	-0.64	0.06	-0.15	0.26	-0.17	0.13	-0.02	0.37	-0.11	0.08	0.06	0.65	0.11	0.32	-0.21
YMR318C	0.19	0.08	0.24	0.38	0.52	0.04	0.44	-0.01	0.06	-0.11	-0.11	-0.23	0.0	-0.55	-0.07	-0.42	-0.12	-0.33
YMR317W	-0.51	-0.11	0.14	0.03	0.6	0.2	0.01	0.02	0.29	-0.2	0.76	-0.3	-0.25	-0.23	0.42	0.03	-0.4	-0.49
YMR316W	1.74	0.45	0.26	0.01	-0.09	-0.01	0.16	0.06	0.01	-0.37	-0.37	-0.07	-0.15	-0.405	-0.66	-0.51	-0.27	-0.18
YMR315W	0.0	0.69	1.08	0.73	0.8	0.37	-0.11	-0.18	0.05	-0.58	0.11	-0.53	-0.22	-0.58	-0.09	-0.32	-0.4	-0.82
YMR314W	0.13	0.09	0.05	0.05	-0.14	0.1	0.22	-0.19	0.1	-0.14	-0.06	-0.14	0.1	0.68	-0.19	-0.23	-0.17	-0.19
YMR313C	-0.19	-0.01	-0.04	-0.11	0.3	-0.04	-0.05	-0.1	0.04	-0.16	0.71	-0.31	-0.18	-0.42	0.54	0.34	-0.44	0.14
YMR312W	0.17	-0.2	-0.11	-0.3	0.17	-0.05	0.14	0.2	0.19	-0.29	0.03	-0.22	0.14	0.08	0.19	-0.16	0.34	-0.3
YMR311C	-0.07	0.05	0.2	0.11	0.14	0.16	-0.14	0.16	-0.04	-0.26	0.12	-0.06	-0.14	-0.07	-0.09	0.26	-0.1	-0.24
YMR310C	0.33	-0.03	-0.6	0.03	-0.05	0.1	0.18	0.01	0.31	-0.3	0.1	0.05	0.46	-0.32	-0.16	-0.07	-0.09	0.07
YMR309C	-0.28	-0.86	-0.3	-0.19	0.41	-0.12	-0.23	0.04	0.25	-0.27	1.13	0.07	-0.06	0.02	0.63	0.57	-0.38	-0.4
YMR308C	0.46	0.255	0.152	0.05	0.16	-0.06	-0.08	-0.17	-0.01	-0.19	-0.03	0.27	0.21	-0.28	0.05	0.02	-0.38	-0.01
YMR307W	-1.12	-1.64	-0.41	-0.1	0.44	0.36	0.44	0.15	0.01	-0.64	0.01	0.23	0.54	0.8	0.9	0.88	-0.25	-0.6
YMR306W	0.39	0.05	0.05	0.15	0.19	-0.02	-0.08	-0.23	-0.33	-0.33	-0.02	0.16	0.12	0.08	-0.05	-0.18	0.25	-0.23
YMR305C	1.9	0.82	0.95	0.66	0.86	-0.01	0.11	-0.92	-1.2	-1.7	-0.61	-0.01	0.72	0.45	0.69	-0.47	-0.6	-1.64
YMR304W	0.16	0.42	0.21	0.3	0.0	-0.02	0.02	-0.12	-0.16	-0.04	-0.2	-0.01	-0.16	-0.43	0.26	0.06	-0.16	-0.15
YMR303C	0.19	-0.36	0.31	0.16	0.53	-0.11	0.47	0.09	0.1	-0.08	0.16	-0.45	-0.17	-0.43	0.28	-0.32	0.12	-0.51
YMR302C	-0.1	-0.04	0.19	-0.05	0.07	-0.15	0.25	-0.11	-0.08	0.05	-0.2	-0.08	0.08	-0.15	0.19	-0.01	0.09	0.04
YMR301C	-0.23	-0.68	-0.15	0.13	0.41	0.18	0.29	-0.08	-0.05	-0.05	0.08	-0.1	0.03	-0.08	0.28	-0.04	0.23	-0.15
YMR300C	-0.14	0.78	0.22	-0.55	-0.29	-0.39	0.34	0.33	0.31	0.04	-0.24	-0.39	-0.15	-0.32	0.15	-0.02	0.39	-0.08
YMR299C	-0.06	-0.42	0.07	-0.12	0.31	-0.06	0.62	0.18	0.18	-0.18	-0.04	-0.42	0.06	-0.33	0.26	0.15	-0.025	-0.2
YMR298W	0.2	0.08	0.12	-0.2	0.24	-0.13	0.51	-0.11	0.18	-0.15	-0.22	-0.39	0.23	-0.41	0.23	-0.32	0.28	-0.15
YMR297W	0.06	-0.36	0.29	0.2	0.42	-0.08	0.35	-0.18	-0.06	-0.18	0.07	-0.05	0.16	-0.21	0.4	-0.32	-0.13	-0.38
YMR296C	0.11	-0.03	0.37	0.42	0.59	-0.16	0.29	-0.32	-0.16	-0.21	-0.11	0.02	0.31	-0.33	-0.13	-0.41	-0.03	-0.21
YMR295C	0.09	-0.04	0.19	0.3	0.27	0.8	0.6	0.4	-0.11	-0.56	-0.87	-0.82	-0.29	-0.01	0.36	-0.02	0.17	-0.44
YMR294W	0.05	0.0	0.05	-0.03	0.06	-0.06	0.095	0.25	0.05	0.05	-0.38	0.1	0.0	-0.22	-0.06	-0.2	0.21	0.14
YMR293C	0.06	-0.04	0.11	0.0	0.29	0.22	0.09	0.31	0.18	-0.27	-0.52	-0.15	0.09	-0.13	-0.06	0.15	-0.41	0.06
YMR291W	0.49	0.45	-0.09	0.08	-0.29	0.15	0.24	-0.03	-0.03	0.1	-0.41	0.0	-0.21	-0.16	-0.13	0.02	-0.12	-0.06
YMR290C	-0.02	-0.8	-0.94	-0.53	0.03	0.12	0.2	0.39	0.59	-0.03	0.43	-0.1	0.17	0.24	0.34	0.33	-0.29	-0.11
YMR289W	0.1	-0.04	-0.21	0.1	-0.13	0.14	0.06	0.25	0.07	0.06	-0.04	-0.12	0.09	0.01	-0.27	0.01	-0.06	-0.01
YMR288W	0.1	-0.36	-0.04	-0.06	0.24	-0.11	-0.01	0.1	0.26	-0.2	0.49	0.17	0.05	-0.16	0.21	0.11	-0.65	-0.15
YMR287C	0.06	1.4	-0.18	-0.06	-0.15	0.17	0.08	0.04	-0.09	-0.02	-0.35	0.19	0.0	-0.18	-0.35	-0.13	-0.27	-0.13
YMR286W	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
YMR285C	0.15	-0.26	-0.03	-0.1	0.18	-0.1	0.13	0.16	0.39	-0.12	0.09	-0.12	-0.1	-0.1	0.1	0.26	-0.46	-0.08
YMR284W	0.31	0.26	0.15	-0.37	-0.25	-0.47	-0.11	-0.09	0.2	0.15	0.35	0.13	0.25	-0.39	0.05	-0.15	-0.01	-0.03
YMR283C	0.24	-0.12	0.25	0.08	0.1	-0.17	0.07	0.25	0.34	0.1	0.08	-0.12	-0.11	-0.24	0.0	-0.03	-0.59	-0.11
YMR282C	-0.02	0.04	0.1	0.25	-0.06	0.19	0.12	0.03	0.09	0.15	-0.08	0.17	0.27	-0.21	-0.75	-0.32	-0.14	0.2
YMR281W	0.15	0.49	0.54	0.3	0.23	-0.09	-0.1	-0.03	0.02	-0.4	-0.07	-0.18	0.03	-0.12	-0.01	0.02	-0.48	-0.31
YMR280C	0.05	0.15	0.07	0.44	0.05	-0.11	-0.39	0.21	0.02	0.04	0.14	-0.37	-0.37	-0.16	0.29	-0.06	0.0	0.0
YMR279C	-0.15	-0.18	0.23	0.33	0.45	0.39	0.15	0.13	-0.2	-0.08	-0.18	-0.23	-0.34	-0.27	0.11	0.11	0.11	-0.28
YMR278W	0.08	0.37	0.32	0.04	0.11	0.17	0.17	0.2	-0.17	-0.02	-0.29	-0.09	-0.19	-0.28	-0.06	-0.14	-0.11	-0.11
YMR277W	0.0	-0.72	-0.2	0.18	0.34	0.38	0.34	0.0	-0.09	-0.09	0.07	-0.09	0.08	-0.13	0.26	0.1	-0.06	-0.26
YMR276W	-0.05	-0.11	0.17	0.08	0.35	-0.05	0.57	0.15	0.18	0.02	-0.04	-0.2	-0.08	-0.52	-0.1	-0.23	0.04	-0.18
YMR275C	-0.09	-0.42	0.22	-0.07	0.22	0.17	0.22	-0.12	-0.03	-0.09	0.08	0.04	-0.11	-0.24	0.04	0.07	0.17	-0.04
YMR274C	-0.41	-0.6	-0.49	-0.51	0.17	0.04	0.5	0.27	0.1	0.06	-0.22	0.06	0.22	-0.03	0.25	0.08	0.22	0.28
YMR273C	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
YMR272C	0.31	0.18	0.48	0.34	0.47	0.1	0.25	-0.13	-0.3	-0.37	-0.19	-0.24	0.0	-0.24	0.18	-0.37	0.09	-0.57
YMR271C	-0.11	0.18	0.23	-0.02	0.14	0.25	0.22	0.04	0.08	-0.07	0.04	-0.11	0.12	-0.04	-0.17	-0.32	-0.14	-0.32
YMR270C	-0.29	-0.36	-0.13	0.14	0.16	0.28	0.41	0.2	-0.16	-0.13	-0.34	-0.26	0.02	-0.08	0.2	0.04	0.3	-0.03
YMR269W	0.23	-0.01	-0.44	0.03	0.08	0.31	0.26	0.35	0.23	0.22	-0.04	0.09	0.13	-0.18	-0.08	-0.26	-0.84	-0.08
YMR268C	0.36	-0.44	0.36	-0.24	0.2	-0.05	0.2	-0.07	0.26	-0.3	0.03	-0.19	0.06	-0.24	0.04	0.01	0.19	-0.17
YMR267W	-0.04	0.08	0.07	-0.2	0.14	0.13	0.4	0.05	0.1	-0.06	-0.04	-0.04	0.05	-0.28	-0.06	-0.24	-0.06	0.02
YMR266W	0.17	0.51	0.38	-0.23	-0.3	-0.23	-0.03	-0.21	-0.33	-0.37	-0.48	-0.21	0.01	0.53	0.23	-0.02	0.33	0.23
YMR265C	0.18	0.255	0.33	-0.09	0.31	-0.07	0.21	-0.13	0.21	0.06	-0.32	-0.05	0.31	-0.01	-0.66	-0.07	-0.07	-0.13
YMR264W	-0.03	0.05	0.16	0.23	0.07	0.21	0.17	0.21	0.23	-0.29	0.1	-0.23	0.07	-0.18	0.04	-0.22	-0.22	-0.37
YMR263W	0.02	0.28	-0.29	-0.11	-0.38	0.15	0.25	0.26	0.15	0.04	-0.45	0.29	0.09	0.04	-0.5	0.02	0.19	-0.07
YMR262W	0.24	0.17	0.41	0.24	-0.01	-0.2	-0.15	-0.2	0.12	-0.11	0.17	-0.09	0.03	-0.28	0.08	-0.07	-0.2	-0.15
YMR261C	-0.06	0.36	0.24	-0.06	-0.21	-0.04	-0.16	-0.28	-0.06	0.21	0.19	0.34	0.24	-0.12	-0.34	-0.06	-0.3	0.13
YMR260C	0.39	0.05	0.06	0.02	-0.26	-0.07	-0.02	0.06	0.32	-0.12	0.35	-0.28	0.02	-0.38	0.15	-0.17	0.06	-0.19
YMR259C	0.07	-0.05	-0.2	-0.01	0.03	0.05	0.18	0.1	0.14	0.0	-0.03	-0.01	-0.1	-0.19	0.18	-0.19	-0.03	0.05
YMR258C	0.07	0.46	0.38	0.25	-0.16	-0.3	-0.15	-0.13	0.15	0.11	0.24	-0.03	-0.03	-0.39	-0.16	-0.18	-0.15	0.0
YMR257C	-0.05	0.26	0.19	-0.09	-0.37	-0.07	0.04	0.16	-0.01	0.44	-0.19	0.29	-0.03	-0.34	-0.65	0.11	0.01	-0.03
YMR256C	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
YMR255W	-0.01	0.14	-0.25	0.25	-0.01	0.41	-0.13	0.22	-0.04	-0.19	-0.01	-0.15	-0.19	-0.23	-0.1	0.14	0.14	0.02
YMR254C	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
YMR253C	0.0	0.22	-0.12	-0.04	-0.44	0.15	-0.09	0.16	0.3	0.45	-0.06	0.18	-0.24	-0.53	-0.29	-0.14	0.19	0.29
YMR252C	-0.23	-0.13	0.5	0.19	0.18	0.37	0.22	0.15	-0.09	0.03	0.11	-0.23	0.02	-0.42	-0.11	-0.21	-0.11	-0.21
YMR251W	0.04	0.26	0.35	-0.41	0.11	-0.1	0.14	0.05	0.15	0.07	-0.15	-0.37	-0.1	0.02	0.14	-0.2	0.11	-0.22
YMR250W	0.12	1.05	1.49	1.05	0.55	0.11	-0.24	-0.37	-0.45	-0.27	-0.35	-0.26	-0.31	-0.8	-0.19	-0.49	-0.57	-0.65
YMR247C	0.28	-0.01	0.04	-0.44	0.08	-0.22	0.06	-0.18	0.11	0.17	0.15	0.13	-0.05	-0.16	0.11	0.08	-0.06	0.06
